elapsed, window, total, successful, failed
10.00165, 10.00165, 1404023, 1404023, 0
20.001158, 9.999508, 1038098, 1038098, 0
30.00127, 10.000112, 986939, 986939, 0
40.001397, 10.000127, 551590, 551590, 0
50.001654, 10.000257, 1264115, 1264115, 0
60.001394, 9.99974, 865520, 865520, 0
70.001679, 10.000285, 802874, 802874, 0
80.001241, 9.999562, 747346, 747346, 0
90.001615, 10.000374, 1086303, 1086303, 0
100.001393, 9.999778, 483666, 483666, 0
110.001657, 10.000264, 1085273, 1085273, 0
120.001349, 9.999692, 968151, 968151, 0
130.001698, 10.000349, 1341096, 1341096, 0
140.001555, 9.999857, 451687, 451687, 0
150.001691, 10.000136, 1194294, 1194294, 0
160.0023, 10.000609, 513146, 513146, 0
170.003347, 10.001047, 1103353, 1103353, 0
180.002511, 9.999164, 1287408, 1287408, 0
190.001292, 9.998781, 639098, 639098, 0
200.001595, 10.000303, 639877, 639877, 0
210.001851, 10.000256, 1224943, 1224943, 0
220.00243, 10.000579, 751541, 751541, 0
230.001234, 9.998804, 823999, 823999, 0
240.001449, 10.000215, 1437051, 1437051, 0
250.001825, 10.000376, 346901, 346901, 0
260.001998, 10.000173, 1110301, 1110301, 0
270.002066, 10.000068, 845334, 845334, 0
280.002374, 10.000308, 1091649, 1091649, 0
290.001736, 9.999362, 528818, 528818, 0
300.001496, 9.99976, 962767, 962767, 0
310.001112, 9.999616, 1325951, 1325951, 0
320.001078, 9.999966, 436202, 436202, 0
330.003145, 10.002067, 1104235, 1104235, 0
340.002073, 9.998928, 958504, 958504, 0
350.001689, 9.999616, 782602, 782602, 0
360.002136, 10.000447, 773061, 773061, 0
370.002971, 10.000835, 811670, 811670, 0
380.003164, 10.000193, 1239254, 1239254, 0
390.003507, 10.000343, 881933, 881933, 0
400.001964, 9.998457, 668252, 668252, 0
410.002998, 10.001034, 1129570, 1129570, 0
420.002451, 9.999453, 617684, 617684, 0
430.001521, 9.99907, 733715, 733715, 0
440.001459, 9.999938, 1354562, 1354562, 0
450.001897, 10.000438, 467123, 467123, 0
460.001982, 10.000085, 1105058, 1105058, 0
470.00162, 9.999638, 732597, 732597, 0
480.00154, 9.99992, 712173, 712173, 0
490.002161, 10.000621, 1107555, 1107555, 0
500.002748, 10.000587, 529933, 529933, 0
510.001228, 9.99848, 1073854, 1073854, 0
520.002871, 10.001643, 1180661, 1180661, 0
530.002297, 9.999426, 672395, 672395, 0
540.001655, 9.999358, 1343968, 1343968, 0
550.001427, 9.999772, 621950, 621950, 0
560.001089, 9.999662, 692829, 692829, 0
570.001647, 10.000558, 1427056, 1427056, 0
580.001727, 10.00008, 361278, 361278, 0
590.001305, 9.999578, 1276620, 1276620, 0
600.001732, 10.000427, 295144, 295144, 0
