elapsed, window, total, successful, failed
10.000765, 10.000765, 1369759, 1369759, 0
20.002349, 10.001584, 1149634, 1149634, 0
30.000899, 9.99855, 568888, 568888, 0
40.002139, 10.00124, 1026361, 1026361, 0
50.000901, 9.998762, 1285864, 1285864, 0
60.002078, 10.001177, 482226, 482226, 0
70.002536, 10.000458, 1260492, 1260492, 0
80.002145, 9.999609, 464362, 464362, 0
90.000943, 9.998798, 911651, 911651, 0
100.002247, 10.001304, 1127305, 1127305, 0
110.001724, 9.999477, 630732, 630732, 0
120.001939, 10.000215, 1381296, 1381296, 0
130.002543, 10.000604, 531086, 531086, 0
140.001042, 9.998499, 773578, 773578, 0
150.002736, 10.001694, 1248503, 1248503, 0
160.002678, 9.999942, 886350, 886350, 0
170.002452, 9.999774, 598448, 598448, 0
180.001693, 9.999241, 1074639, 1074639, 0
190.004267, 10.002574, 1276229, 1276229, 0
200.000637, 9.99637, 644003, 644003, 0
210.001857, 10.00122, 809480, 809480, 0
220.002299, 10.000442, 1038481, 1038481, 0
230.001306, 9.999007, 570844, 570844, 0
240.001603, 10.000297, 1044371, 1044371, 0
250.0026, 10.000997, 1299885, 1299885, 0
260.002372, 9.999772, 524841, 524841, 0
270.001439, 9.999067, 845784, 845784, 0
280.001498, 10.000059, 1018568, 1018568, 0
290.001186, 9.999688, 973979, 973979, 0
300.002164, 10.000978, 966687, 966687, 0
310.002441, 10.000277, 1154591, 1154591, 0
320.00183, 9.999389, 632572, 632572, 0
330.002338, 10.000508, 1106593, 1106593, 0
340.001682, 9.999344, 1248829, 1248829, 0
350.002668, 10.000986, 453611, 453611, 0
360.002598, 9.99993, 1105725, 1105725, 0
370.00145, 9.998852, 1106406, 1106406, 0
380.001466, 10.000016, 700731, 700731, 0
390.001659, 10.000193, 1440630, 1440630, 0
400.001825, 10.000166, 333328, 333328, 0
410.003798, 10.001973, 1115513, 1115513, 0
420.001882, 9.998084, 555064, 555064, 0
430.002572, 10.00069, 1121114, 1121114, 0
440.002372, 9.9998, 1272456, 1272456, 0
450.002376, 10.000004, 618272, 618272, 0
460.002101, 9.999725, 1047572, 1047572, 0
470.001097, 9.998996, 729621, 729621, 0
480.001192, 10.000095, 629190, 629190, 0
490.000978, 9.999786, 1046657, 1046657, 0
500.002124, 10.001146, 1306847, 1306847, 0
510.001794, 9.99967, 572100, 572100, 0
520.002574, 10.00078, 1070939, 1070939, 0
530.001617, 9.999043, 456764, 456764, 0
540.002587, 10.00097, 1190049, 1190049, 0
550.002572, 9.999985, 898141, 898141, 0
560.002381, 9.999809, 686691, 686691, 0
570.001522, 9.999141, 862642, 862642, 0
580.002496, 10.000974, 1383300, 1383300, 0
590.001321, 9.998825, 380508, 380508, 0
