elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001589, 10.001589, 1392370, 2, 19.0, 3, 5, 666, 1905, 27037, 0
20.001964, 10.000375, 1206150, 2, 22.2, 3, 4, 738, 2359, 799162, 0
30.002323, 10.000359, 590548, 2, 29.3, 3, 5, 1003, 2757, 896367, 0
40.001459, 9.999136, 1012236, 2, 24.5, 3, 5, 797, 2538, 843823, 0
50.001789, 10.00033, 986159, 2, 25.4, 3, 5, 866, 2654, 860241, 0
60.001473, 9.999684, 557988, 2, 27.9, 3, 4, 985, 2702, 494952, 0
70.001613, 10.00014, 1193417, 2, 22.6, 3, 4, 771, 2405, 685651, 0
80.002049, 10.000436, 591149, 2, 29.6, 3, 4, 1016, 2828, 851657, 0
90.003325, 10.001276, 1186859, 2, 23.5, 3, 4, 769, 2482, 804823, 0
100.001684, 9.998359, 585315, 2, 28.6, 3, 4, 1020, 2767, 552949, 0
110.00137, 9.999686, 871217, 2, 25.2, 3, 4, 893, 2615, 545707, 0
120.001753, 10.000383, 1101981, 2, 24.0, 3, 4, 813, 2627, 724483, 0
130.002138, 10.000385, 598892, 2, 28.6, 3, 4, 972, 2756, 759924, 0
140.001946, 9.999808, 1012112, 2, 23.8, 3, 4, 804, 2511, 638060, 0
150.00234, 10.000394, 1054327, 2, 24.5, 3, 4, 838, 2554, 718670, 0
160.002, 9.99966, 551889, 2, 27.2, 3, 4, 982, 2667, 366271, 0
170.002303, 10.000303, 1065970, 2, 23.0, 3, 4, 748, 2497, 648830, 0
180.001103, 9.9988, 724862, 2, 24.2, 3, 4, 879, 2595, 50571, 0
190.001393, 10.00029, 1441963, 2, 21.0, 3, 4, 713, 2174, 818950, 0
200.002042, 10.000649, 338216, 2, 32.6, 3, 4, 1100, 2822, 697510, 0
210.001737, 9.999695, 1461659, 2, 21.3, 3, 4, 718, 2341, 803600, 0
220.008425, 10.006688, 399775, 2, 30.3, 3, 4, 1145, 2852, 547910, 0
230.001424, 9.992999, 1041141, 2, 24.2, 3, 4, 847, 2647, 422854, 0
240.001412, 9.999988, 825444, 2, 27.0, 3, 4, 936, 2721, 742361, 0
250.001767, 10.000355, 838500, 2, 26.4, 3, 4, 929, 2720, 566561, 0
260.001666, 9.999899, 840449, 2, 26.8, 3, 4, 929, 2770, 699046, 0
270.00121, 9.999544, 852271, 2, 25.8, 3, 4, 936, 2677, 518226, 0
280.001339, 10.000129, 834206, 2, 26.5, 3, 4, 923, 2707, 710771, 0
290.001468, 10.000129, 847289, 2, 26.2, 3, 4, 918, 2718, 573767, 0
300.001396, 9.999928, 864818, 2, 26.0, 3, 4, 939, 2688, 717681, 0
310.001796, 10.0004, 677540, 2, 27.7, 3, 4, 948, 2738, 838349, 0
320.001595, 9.999799, 845723, 2, 22.2, 3, 4, 795, 2360, 30461, 0
330.001832, 10.000237, 1075693, 2, 21.0, 3, 4, 744, 2283, 33320, 0
340.001657, 9.999825, 1261439, 2, 22.6, 3, 4, 710, 2382, 923417, 0
350.001611, 9.999954, 509474, 2, 27.2, 3, 5, 989, 2809, 45427, 0
360.001469, 9.999858, 1131102, 2, 19.9, 3, 5, 710, 2107, 41848, 0
370.001671, 10.000202, 1042089, 2, 23.8, 3, 5, 801, 2510, 737059, 0
380.001322, 9.999651, 713090, 2, 24.6, 3, 5, 849, 2734, 43419, 0
390.001692, 10.00037, 1410627, 2, 21.8, 3, 5, 733, 2261, 744399, 0
400.002291, 10.000599, 406493, 2, 30.2, 3, 4, 1072, 2875, 575826, 0
410.002029, 9.999738, 950591, 2, 21.8, 3, 4, 754, 2399, 31784, 0
420.003073, 10.001044, 1363119, 2, 21.5, 3, 4, 748, 2290, 480821, 0
430.003161, 10.000088, 360417, 2, 28.3, 3, 4, 1034, 2832, 31938, 0
440.001818, 9.998657, 1513463, 2, 20.2, 3, 4, 706, 2022, 659219, 0
450.002501, 10.000683, 398247, 2, 30.7, 3, 4, 1079, 2836, 905498, 0
460.001814, 9.999313, 1196891, 2, 23.0, 3, 4, 804, 2471, 678191, 0
470.002035, 10.000221, 703089, 2, 28.1, 3, 4, 1001, 2725, 868078, 0
480.001932, 9.999897, 913928, 2, 25.8, 3, 4, 904, 2645, 841564, 0
490.002201, 10.000269, 534740, 2, 26.2, 3, 4, 966, 2772, 31555, 0
500.002977, 10.000776, 1309652, 2, 21.4, 3, 4, 713, 2045, 689171, 0
510.00217, 9.999193, 878790, 2, 26.1, 3, 4, 920, 2627, 621197, 0
520.002378, 10.000208, 583957, 2, 25.9, 3, 4, 960, 2693, 45161, 0
530.002019, 9.999641, 1057694, 2, 20.8, 3, 4, 692, 2233, 42370, 0
540.00171, 9.999691, 1013089, 2, 21.4, 3, 4, 727, 2374, 44952, 0
550.002268, 10.000558, 998257, 2, 21.1, 3, 4, 719, 2262, 44595, 0
560.003187, 10.000919, 1237305, 2, 22.0, 3, 4, 723, 2219, 736380, 0
570.002182, 9.998995, 880541, 2, 26.3, 3, 4, 932, 2683, 719273, 0
580.002646, 10.000464, 839387, 2, 26.3, 3, 4, 946, 2713, 784065, 0
590.001844, 9.999198, 834437, 2, 26.7, 3, 4, 958, 2719, 675799, 0
600.002027, 10.000183, 471165, 2, 27.5, 3, 4, 953, 2722, 872831, 0
